brand,category,dimension10,dimension11,dimension24,dimension25,dimension26,dimension9,ean,id,name,price
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192651535502,1435821,"Portátil - Ideapad 330, 81D6007NSP, 15.6"" HD, AMD E2-9000 (2 x 1.8 GHz), 1TB, 4GB",299.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883691451,1430098,NG-AN515-52-736F I7-8750H/8/1+128/GTX1050 4GB/W10,999.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883844970,1426491,ASPIRE3 A315-53-58EJ 15/I5-8250U/8GB/1TB/UMA/W10,549.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192158129914,1429858,"Portátil - Lenovo ideapad 520-15IKB, 15.6"", i7-8550U, 16GB RAM, 1TB HDD, MX150, Gris metálico",999.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900848076,1383332,"Portátil - Asus ZenBook Pro UX550VD-BN009T, 15.6, Full HD, Intel® Core i7-7700HQ, 8GB RAM, 256 GB",1329.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883759007,1427352,"Portátil - Acer Aspire 5, A515-51G-553U, I5-8250U, 8GB, 1TB+128GB, MX130, W10, Negro",699.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191376720989,1383017,Y520-15/15/I7-7700HQ/8/1TB/1050 4/W10,999.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192018298293,1391489,"Portátil - HP 250 G6, 15.6"" HD, i3-6006U, RAM 4 GB, 128 GB SSD, Negro",489.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192158163291,1421742,"Portátil gaming - Lenovo Y520-15IKBN, 15.6"", Full HD, Intel® Core i7-7700HQ, 8 GB RAM, 1 TB HDD,",999.0
APPLE,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0190198712707,1426945,APPLE MR962Y/A MBP TB I7-8750H/16/256/555,2506.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0193015050167,1429994,"Portátil - HP 15-CS0010NS I7-8550U, 12, 1+256, MX150, W10",1099.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4718017026444,1436912,"Portátil Gaming - Asus FX504GE-DM286, 15"", FHD, Intel i7-8750H, GTX1050Ti, 8GB, 256GB/1TB, Negro",999.0
TOSHIBA,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4051528363067,1427984,"Portátil - Toshiba Tecra A50-D-12u, 15.6"", HD, Intel® Core™ i5-7200U, RAM 8 GB, HDD 2",749.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4718017043298,1437078,"Portátil - Asus X540YA-XO759T, 15.6"" HD, AMD Quad-Core, 4 GB RAM, 128 GB SSD, W10",299.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883418034,1380712,"Portátil gaming - Acer Predator Helios 300, 15.6"", Full HD, i7-7700HQ, 8GB RAM, 1TB HDD +",1199.0
